name,rating,review
"SoftPlay Cloth Book, Love",1,This book is boring. Nothing to stimulate my granddaughter. It is a waste of money. I would not recommend it
Hunnt&reg; Falling Flowers and Birds Kids Nursery Home Decor Vinyl Mural Art Wall Paper Stickers,1,The reason:Small sizeHard to apply on the wall because most part of flower only in one pieceYou will know how waste money it is when second day morning you see all the flowers fell on the floor in a roll.
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),1,"The steel part is not strong at all, unlike the old diaper pins, which I still have.  Very hard to work it through a thicker fabric.  Would not recommend."
Super Mario Game Nintendo Wall Sticker and Decal,1,These do not stick to the wall. They start to peel as soon as you stick them to the wall.
New Style Trailing Cherry Blossom Tree Decal Removable Vinyl Kids Wall Decal Wall Sticker Peel and Stick,1,Was so excited to get this product for my baby girls bedroom!  When I got it the back is NOT STICKY at all!  Every time I walked into the bedroom I was picking up pieces off of the floor!  Very very frustrating!  Ended up having to super glue it to the wall...very disappointing.  I wouldn't waste the time or money on it.
Neurosmith - Music Blocks with Mozart Music Cartridge,1,"Great idea, but the toy IS NOT durable.  After returning one toy for not working, another one has broken.  What a disappointment!!  And the customer service is non-existant and when it is, they are rude!!!! Someone let me know when the class-action lawsuit will occur."
Sassy 836 - Fascination Station,1,"I bought this toy for an addition to my son's exerciser. However, it would not stick (to anything)!! I tried everything to make it stick. It was very frustrating."
Sassy Who Loves Baby? Photo Album Book with teether handle,1,"Based on articles on the dangers of PVC plastic books, this book was tested and found to contain chemicals that are highly toxic for babies and toddlers. This materials have already been banned from children's toys in Europe.In order to read the many articles online that specifically name this book as having been found to contain chemicals that are dangerously toxic for children, google ""toxic bath books"" or the title of the book with the word ""toxic.""This book's concept is wonderful, but those who love children should share photos in another kind of album or book."
Fisher Price - Baby Bowling,1,I'm really disappointed with this toy.  It never kept my daughter's attention.
The First Years Massaging Action Teether,1,"This teether is ridiculous. It's huge, it's hard to clamp down on, and my daughter had no idea what was going on when it started vibrating in her mouth.It's just too big, awkward, and hard to push down on. Not worth the money, in my opinion."
